,Date,Streams,Day of week
0,2017-01-01,2086421,Sunday
1,2017-01-02,3047495,Monday
2,2017-01-03,3264934,Tuesday
3,2017-01-04,3301133,Wednesday
4,2017-01-05,2893957,Thursday
5,2017-01-06,2245767,Friday
6,2017-01-07,2128521,Saturday
7,2017-01-08,1891998,Sunday
8,2017-01-09,2482572,Monday
9,2017-01-10,2315552,Tuesday
10,2017-01-11,1829996,Wednesday
11,2017-01-12,2331968,Thursday
12,2017-01-13,1788268,Friday
13,2017-01-14,1729362,Saturday
14,2017-01-15,1470940,Sunday
15,2017-01-16,2074493,Monday
16,2017-01-17,2109506,Tuesday
17,2017-01-18,2173684,Wednesday
18,2017-01-19,2181808,Thursday
19,2017-01-20,1694295,Friday
20,2017-01-21,1608873,Saturday
21,2017-01-22,1349293,Sunday
22,2017-01-23,1974068,Monday
23,2017-01-24,2053257,Tuesday
24,2017-01-25,2029947,Wednesday
25,2017-01-26,1959424,Thursday
26,2017-01-27,1568249,Friday
27,2017-01-28,1426262,Saturday
28,2017-01-29,1170706,Sunday
29,2017-01-30,1333397,Monday
30,2017-01-31,1326597,Tuesday
31,2017-02-01,1317980,Wednesday
32,2017-02-02,1225264,Thursday
33,2017-02-03,1341407,Friday
34,2017-02-04,1187838,Saturday
35,2017-02-05,1009000,Sunday
36,2017-02-06,1520778,Monday
37,2017-02-07,1198041,Tuesday
38,2017-02-08,1707030,Wednesday
39,2017-02-09,1719954,Thursday
40,2017-02-10,1220472,Friday
41,2017-02-11,1083488,Saturday
42,2017-02-12,988430,Sunday
43,2017-02-13,1021828,Monday
44,2017-02-14,1049694,Tuesday
45,2017-02-15,1033123,Wednesday
46,2017-02-16,1013678,Thursday
47,2017-02-17,1067758,Friday
48,2017-02-18,961022,Saturday
49,2017-02-19,802587,Sunday
50,2017-02-20,926468,Monday
51,2017-02-21,950405,Tuesday
52,2017-02-22,966129,Wednesday
53,2017-02-23,530211,Thursday
54,2017-02-24,1024103,Friday
55,2017-02-25,924580,Saturday
56,2017-02-26,784975,Sunday
57,2017-02-27,822687,Monday
58,2017-02-28,861043,Tuesday
59,2017-03-01,906411,Wednesday
60,2017-03-02,962315,Thursday
61,2017-03-03,3008530,Friday
62,2017-03-04,1038250,Saturday
63,2017-03-05,439337,Sunday
64,2017-03-06,759690,Monday
65,2017-03-07,661618,Tuesday
66,2017-03-08,551404,Wednesday
67,2017-03-09,548730,Thursday
68,2017-03-10,506652,Friday
69,2017-03-11,404737,Saturday
70,2017-03-12,394863,Sunday
71,2017-03-13,444760,Monday
72,2017-03-14,521948,Tuesday
73,2017-03-15,440460,Wednesday
74,2017-03-16,527094,Thursday
75,2017-03-17,480891,Friday
76,2017-03-18,352431,Saturday
77,2017-03-19,279789,Sunday
78,2017-03-20,383311,Monday
79,2017-03-21,433396,Tuesday
80,2017-03-22,412823,Wednesday
81,2017-03-23,443524,Thursday
82,2017-03-24,421098,Friday
83,2017-03-25,366777,Saturday
84,2017-03-26,318193,Sunday
85,2017-03-27,455926,Monday
86,2017-03-28,519341,Tuesday
87,2017-03-29,514035,Wednesday
88,2017-03-30,606857,Thursday
89,2017-03-31,772987,Friday
90,2017-04-01,838823,Saturday
91,2017-04-02,726782,Sunday
92,2017-04-03,1524620,Monday
93,2017-04-04,2090008,Tuesday
94,2017-04-05,2119169,Wednesday
95,2017-04-06,1705286,Thursday
96,2017-04-07,970924,Friday
97,2017-04-08,783038,Saturday
98,2017-04-09,638828,Sunday
99,2017-04-10,1222306,Monday
100,2017-04-11,1374711,Tuesday
101,2017-04-12,1469721,Wednesday
102,2017-04-13,976021,Thursday
103,2017-04-14,716977,Friday
104,2017-04-15,626136,Saturday
105,2017-04-16,886845,Sunday
106,2017-04-17,1051696,Monday
107,2017-04-18,1047258,Tuesday
108,2017-04-19,522470,Wednesday
109,2017-04-20,537047,Thursday
110,2017-04-21,504113,Friday
111,2017-04-22,411417,Saturday
112,2017-04-23,337836,Sunday
113,2017-04-24,462319,Monday
114,2017-04-25,466476,Tuesday
115,2017-04-26,388015,Wednesday
116,2017-04-27,384321,Thursday
117,2017-04-28,351704,Friday
118,2017-04-29,321593,Saturday
119,2017-04-30,284442,Sunday
120,2017-05-01,298405,Monday
121,2017-05-02,382239,Tuesday
122,2017-05-03,369371,Wednesday
123,2017-05-04,421014,Thursday
124,2017-05-05,349390,Friday
125,2017-05-06,281407,Saturday
126,2017-05-07,235872,Sunday
127,2017-05-08,295837,Monday
128,2017-05-09,336601,Tuesday
129,2017-05-10,330588,Wednesday
130,2017-05-11,310277,Thursday
131,2017-05-12,261403,Friday
132,2017-05-13,229324,Saturday
133,2017-05-14,195854,Sunday
134,2017-05-15,235623,Monday
135,2017-05-16,308851,Tuesday
136,2017-05-17,263379,Wednesday
137,2017-05-18,232034,Thursday
138,2017-05-19,243624,Friday
139,2017-05-20,178291,Saturday
140,2017-05-21,191096,Sunday
141,2017-05-22,253200,Monday
142,2017-05-23,290940,Tuesday
143,2017-05-24,265508,Wednesday
144,2017-05-25,224169,Thursday
145,2017-05-26,242290,Friday
146,2017-05-27,213105,Saturday
147,2017-05-28,185037,Sunday
148,2017-05-29,226185,Monday
149,2017-06-01,227070,Thursday
150,2017-06-03,189442,Saturday
151,2017-06-04,249042,Sunday
152,2017-06-05,1109869,Monday
153,2017-06-06,1013461,Tuesday
154,2017-06-07,1004583,Wednesday
155,2017-06-08,977008,Thursday
156,2017-06-09,396303,Friday
157,2017-06-10,357765,Saturday
158,2017-06-11,366394,Sunday
159,2017-06-12,855451,Monday
160,2017-06-13,828101,Tuesday
161,2017-06-14,338444,Wednesday
162,2017-06-15,795183,Thursday
163,2017-06-16,2004693,Friday
164,2017-06-17,379964,Saturday
165,2017-06-18,350614,Sunday
166,2017-06-19,879152,Monday
167,2017-06-20,886665,Tuesday
168,2017-06-21,920259,Wednesday
169,2017-06-22,949841,Thursday
170,2017-06-23,330905,Friday
171,2017-06-24,380028,Saturday
172,2017-06-25,993924,Sunday
173,2017-06-26,1240785,Monday
174,2017-06-27,1182185,Tuesday
175,2017-06-28,1044708,Wednesday
176,2017-06-29,931918,Thursday
177,2017-06-30,858281,Friday
178,2017-07-01,827497,Saturday
179,2017-07-02,752528,Sunday
180,2017-07-03,881586,Monday
181,2017-07-04,1546743,Tuesday
182,2017-07-05,939476,Wednesday
183,2017-07-06,913258,Thursday
184,2017-07-07,2193551,Friday
185,2017-07-08,912077,Saturday
186,2017-07-09,849383,Sunday
187,2017-07-10,1000790,Monday
188,2017-07-11,993434,Tuesday
189,2017-07-12,971096,Wednesday
190,2017-07-13,927747,Thursday
191,2017-07-14,7049158,Friday
192,2017-07-15,1955259,Saturday
193,2017-07-16,1378069,Sunday
194,2017-07-17,1697044,Monday
195,2017-07-18,1610839,Tuesday
196,2017-07-19,1635401,Wednesday
197,2017-07-20,1919014,Thursday
198,2017-07-21,301830,Friday
199,2017-07-22,369830,Saturday
200,2017-07-23,738659,Sunday
201,2017-07-24,826315,Monday
202,2017-07-25,815978,Tuesday
203,2017-07-26,780903,Wednesday
204,2017-07-27,773540,Thursday
205,2017-07-28,722214,Friday
206,2017-07-29,278485,Saturday
207,2017-07-30,637111,Sunday
208,2017-07-31,746158,Monday
209,2017-08-01,819763,Tuesday
210,2017-08-02,786226,Wednesday
211,2017-08-03,746944,Thursday
212,2017-08-04,714319,Friday
213,2017-08-05,249636,Saturday
214,2017-08-06,637566,Sunday
215,2017-08-07,694669,Monday
216,2017-08-08,731985,Tuesday
217,2017-08-09,702740,Wednesday
218,2017-08-10,699093,Thursday
219,2017-08-11,264744,Friday
220,2017-08-12,233602,Saturday
221,2017-08-13,626183,Sunday
222,2017-08-14,664212,Monday
223,2017-08-15,682024,Tuesday
224,2017-08-16,667167,Wednesday
225,2017-08-17,679848,Thursday
226,2017-08-18,675864,Friday
227,2017-08-19,216157,Saturday
228,2017-08-20,636963,Sunday
229,2017-08-21,695759,Monday
230,2017-08-22,728178,Tuesday
231,2017-08-23,719383,Wednesday
232,2017-08-24,669012,Thursday
233,2017-08-25,192288,Friday
234,2017-08-26,180585,Saturday
235,2017-08-27,195404,Sunday
236,2017-08-28,195232,Monday
237,2017-08-29,201096,Tuesday
238,2017-08-30,216888,Wednesday
239,2017-08-31,210479,Thursday
240,2017-09-01,158079,Friday
241,2017-09-02,191776,Saturday
242,2017-09-03,580223,Sunday
243,2017-09-04,639740,Monday
244,2017-09-05,647687,Tuesday
245,2017-09-06,665008,Wednesday
246,2017-09-07,665909,Thursday
247,2017-09-08,163650,Friday
248,2017-09-09,166923,Saturday
249,2017-09-10,567175,Sunday
250,2017-09-11,637079,Monday
251,2017-09-12,650548,Tuesday
252,2017-09-13,662532,Wednesday
253,2017-09-14,683271,Thursday
254,2017-09-15,181130,Friday
255,2017-09-16,111664,Saturday
256,2017-09-17,580695,Sunday
257,2017-09-18,649850,Monday
258,2017-09-19,200724,Tuesday
259,2017-09-20,182289,Wednesday
260,2017-09-21,185619,Thursday
261,2017-09-22,155870,Friday
262,2017-09-23,123614,Saturday
263,2017-09-24,171123,Sunday
264,2017-09-25,661084,Monday
265,2017-09-26,661193,Tuesday
266,2017-09-27,703845,Wednesday
267,2017-09-28,688997,Thursday
268,2017-09-29,795540,Friday
269,2017-09-30,813171,Saturday
270,2017-10-01,789342,Sunday
271,2017-10-02,811025,Monday
272,2017-10-03,871661,Tuesday
273,2017-10-04,881131,Wednesday
274,2017-10-05,975755,Thursday
275,2017-10-06,808192,Friday
276,2017-10-07,772409,Saturday
277,2017-10-08,744402,Sunday
278,2017-10-09,891004,Monday
279,2017-10-10,909775,Tuesday
280,2017-10-11,902795,Wednesday
281,2017-10-12,827055,Thursday
282,2017-10-13,754092,Friday
283,2017-10-14,674227,Saturday
284,2017-10-15,726848,Sunday
285,2017-10-16,814797,Monday
286,2017-10-17,827221,Tuesday
287,2017-10-18,861300,Wednesday
288,2017-10-19,829863,Thursday
289,2017-10-20,222639,Friday
290,2017-10-21,671971,Saturday
291,2017-10-22,698240,Sunday
292,2017-10-23,788932,Monday
293,2017-10-24,815665,Tuesday
294,2017-10-25,810285,Wednesday
295,2017-10-26,809777,Thursday
296,2017-10-27,269725,Friday
297,2017-10-28,189006,Saturday
298,2017-10-29,646421,Sunday
299,2017-10-30,738926,Monday
300,2017-10-31,252079,Tuesday
301,2017-11-01,709902,Wednesday
302,2017-11-02,844399,Thursday
303,2017-11-03,262149,Friday
304,2017-11-04,234261,Saturday
305,2017-11-05,645869,Sunday
306,2017-11-06,742602,Monday
307,2017-11-07,780130,Tuesday
308,2017-11-08,801620,Wednesday
309,2017-11-09,956442,Thursday
310,2017-11-10,820888,Friday
311,2017-11-11,749045,Saturday
312,2017-11-12,710432,Sunday
313,2017-11-13,858992,Monday
314,2017-11-14,917902,Tuesday
315,2017-11-15,1038235,Wednesday
316,2017-11-16,1092369,Thursday
317,2017-11-17,974938,Friday
318,2017-11-18,797568,Saturday
319,2017-11-19,761964,Sunday
320,2017-11-20,823845,Monday
321,2017-11-21,859793,Tuesday
322,2017-11-22,865710,Wednesday
323,2017-11-23,874788,Thursday
324,2017-11-24,766794,Friday
325,2017-11-25,734453,Saturday
326,2017-11-26,770915,Sunday
327,2017-11-27,813497,Monday
328,2017-11-28,832953,Tuesday
329,2017-11-29,873052,Wednesday
330,2017-11-30,944847,Thursday
331,2017-12-01,487371,Friday
332,2017-12-02,1071747,Saturday
333,2017-12-03,1169223,Sunday
334,2017-12-04,538038,Monday
335,2017-12-05,544111,Tuesday
336,2017-12-06,583950,Wednesday
337,2017-12-07,557923,Thursday
338,2017-12-08,557645,Friday
339,2017-12-09,1301801,Saturday
340,2017-12-10,1447429,Sunday
341,2017-12-11,1181645,Monday
342,2017-12-12,1154816,Tuesday
343,2017-12-13,1187612,Wednesday
344,2017-12-14,1194491,Thursday
345,2017-12-15,1265619,Friday
346,2017-12-16,1492940,Saturday
347,2017-12-17,1454489,Sunday
348,2017-12-18,1297946,Monday
349,2017-12-19,1360174,Tuesday
350,2017-12-20,1497400,Wednesday
351,2017-12-21,1604735,Thursday
352,2017-12-22,1894475,Friday
353,2017-12-23,2223888,Saturday
354,2017-12-24,4304932,Sunday
355,2017-12-25,3553606,Monday
356,2017-12-26,1030459,Tuesday
357,2017-12-27,264175,Wednesday
358,2017-12-28,765286,Thursday
359,2017-12-29,244761,Friday
360,2017-12-30,213700,Saturday
361,2017-12-31,220653,Sunday
362,2018-01-01,139110,Monday
363,2018-01-02,735692,Tuesday
364,2018-01-03,217798,Wednesday
365,2018-01-04,233834,Thursday
366,2018-01-05,213484,Friday
367,2018-01-06,189098,Saturday
368,2018-01-07,184744,Sunday
369,2018-01-08,722932,Monday
370,2018-01-09,733919,Tuesday
